;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2
11885384T;84q3VUKHOBF;Eddi Drioli;83 Paget Parkway;38;3
11909087P;FWvAC0WhpJ;Anstice Occleshaw;4347 Waywood Terrace;38;-6
11915635P;Chh5neX4x;Callean Agate;1251 Quincy Pass;40;-8
11927301Y;Rsqzmd6REhfe;Alvira Halwell;8251 Clove Alley;36;2
11930419D;8G6LFL;Genna Huelin;603 Spaight Drive;40;1
11937787Q;TvF5lBhFwTz;Luz M'Barron;92 International Avenue;42;1
11941462N;rWQJ0wuokkNF;Erv Passmore;7 Oxford Alley;36;-6
11943202V;8mPVhnj1;Willette Barraclough;26441 Pennsylvania Hill;42;-7
11952899F;SbJ3tJ9;Valentino Osbaldeston;894 Kensington Street;37;0
11959121H;Z0ZzcvMkq;Teriann Ritter;996 Cambridge Park;42;1
11971895T;daV9wPpQc6HV;Mersey Gammel;131 Fuller Park;43;2
12003320C;eofiPfZ0UMjk;Reeta Devaney;50 Golf View Plaza;39;-0
12004485S;HR4xHL;Madalyn Guenther;6224 Banding Parkway;41;1
12018152P;WvO7ZsWo1;Dinnie Camoys;29 Spohn Parkway;38;-6
12025111K;CpFkw856Xr;Sigfried Joyce;853 Melrose Circle;37;-5
12025982O;rvG9BslAAz;Leicester Marcam;1879 Forest Run Avenue;38;-3
12030136B;MpS4NB6xrmf;Barri England;7 Arapahoe Plaza;37;-8
12031490O;rhymDC451;Ignaz Redihough;99 Shelley Pass;40;-7
12032823G;T0FxRj0l;Orsa Bumpas;1 Sutteridge Avenue;41;-2
12048074F;kjn9cWzHHLDG;Carr Khadir;50168 Comanche Avenue;41;-6
12050670T;Y0AmVpbxaY;Eleonora Linguard;65721 Hudson Circle;36;-3
12058303W;opJhBZ;Judd Loynes;65 Hoepker Road;41;-2
12076641S;0tIUNqRo;Naomi Ipwell;3722 Bayside Center;42;-7
12098732X;U9t7g2VwF;Maisie Hessay;664 Muir Junction;41;-8
12098884N;ZLzqcm0Hg;Merle Hammelberg;89 Springs Place;41;-4
12112391F;KkanWe;Matthaeus Eeles;24202 Pepper Wood Terrace;41;-5
12117815O;w1duhX;Artemis Sawell;3 Prentice Way;38;-6
12127725Q;Ip4tIssn;Shaun Linton;2 Northwestern Pass;41;-5
12131940R;aHGJaqB;Sallee Colwill;5 Memorial Park;39;-4
12155746W;PJ6B53I8sp;Patsy Rimmer;80 Heffernan Lane;36;1
12157459Q;5sKDcVcW;Emlyn Bartlomiej;564 Upham Way;42;-5
12159270Q;h7HZK8FUK;Meredeth Matteris;0485 Union Drive;38;2
12175659B;YVJ16gT8y;Austina Chase;50430 Orin Street;36;-7
12176937M;Afuw7Hj;Reeba Gasson;745 Lunder Street;42;2
12183432D;DhyMbyVo;Charley Danilchev;1 Nancy Alley;36;-0
12195494T;n6V9FkwbsdRt;Anastasie Gleeton;70067 Colorado Center;42;-4
12202416R;7OielHfyaqcn;Carlene Lunt;2707 Muir Street;37;-3
12208969K;haClFAqB;Zahara Mattiello;1682 Lillian Lane;43;2
12215344G;WFLcTHz2;Joly Gravy;0415 Sullivan Pass;37;-1
12215672H;9dFLmaO0p1V0;Mikey Wathen;3433 Elmside Road;38;-3
12232045B;oTOMWgGHUyUv;Idalia Slym;366 Melvin Plaza;40;-3
12238150G;ZEixk132FU;Lawrence Purrington;197 Jenna Drive;41;-1
12241078O;guAbqlivlL;Gabrielle Bernaldo;37120 Killdeer Terrace;40;-0
12242103F;PNUrTyA;Teodoro Hyndes;45265 David Trail;43;-7
12248062U;KPEE63;Brod Catherine;697 Green Pass;40;2
12252554S;Q69Eof6qbr;Hedwig Alforde;2781 Fairview Place;39;-1
12265398K;YaPu0hSbcc;Denna Minghetti;9 Garrison Place;40;-9
12281424O;gAPfY588pk;Shay Lamb;1 Lakewood Parkway;39;-1
12282255H;MsPWvz4WEr0;Milzie Purton;87639 Lakeland Junction;38;-4
12284146E;BuNrSCGayo;Godwin Knevit;24606 Longview Point;36;0
12289351E;6zc5eUO;Granger Newbury;998 Lunder Trail;37;-0
12291094R;hH7LiOZCXlgw;Nissa Androletti;45834 Judy Drive;38;-0
12301292M;eLVepKooek6;Stella Flawith;5 4th Drive;41;0
12301499X;i9FMU3E;Justina Zorro;348 Cottonwood Center;39;-1
12333739N;dr0LRBJ;Robinette Carous;88 American Ash Point;43;3
12336236V;JAjXwl;Philis Devita;1920 Mallory Alley;39;-0
12363031I;CgucdL;Sande Recke;7824 Mosinee Avenue;40;-3
12369848F;da6ce7;Torrie McCreedy;59 Moland Avenue;37;-7
12375084N;ktkSEptAr;Rosella Zoppo;8282 Ridgeview Center;41;-6
12379925H;aOswePJu;Bradley Grisdale;6828 Stone Corner Court;40;-2
12385273M;getfHVt;Elvina Presidey;5054 Esker Way;36;-0
12395567H;JBCKiy5y;Marin Henriques;314 Esker Crossing;37;-8
12398549V;PlruGPc82xgB;Celina Mahomet;94653 Manufacturers Junction;43;3
12410312B;C3mSmuFOnmJ;Tim Woodward;2 7th Center;39;-7
12456425A;GPTdcQRa;Adara Luca;498 Marquette Point;41;-6
12459799P;N5mxxZKQITwM;Crawford Kunzelmann;621 Loomis Court;36;-7
12471160E;NcCT3hZwV;Phillipp Nickoles;5772 Jenifer Way;40;-7
12471893I;BtjLS4;Lusa Sivills;8744 Doe Crossing Pass;40;-6
12483802F;dzgqyU;Reginald Dennistoun;70986 Hagan Point;37;-1
12496294R;ynmaOBudi;Karee Petronis;29746 Ridgeview Junction;40;-1
12531846D;1YqwO6Jot6Ln;Rania MacCole;872 Crownhardt Trail;42;0
12538669C;svBbsg6jy;Addison Brandolini;804 Dwight Road;38;-5
12539283J;PKRnbEEDY;Myrtice Haborn;981 Lotheville Terrace;37;-6
12547001C;Obaey3;Hamel Moger;1507 Sunfield Park;38;-5
12550488E;dokLuu;Antonietta Bonifazio;70 Sundown Lane;40;-2
12559853U;rGZa5x5d2Z;Fidel Di Matteo;43849 Green Hill;37;-5
12560347G;qp1M1ldNPM4O;Isidor Eveque;454 Hoffman Court;40;-2
12592825G;5ypxC5E;Monique Mill;3 Melvin Center;42;-2
12596000N;IFcgXJuBmL9h;Melonie Tuffell;82315 Sunnyside Pass;42;-1
12605920E;0bQ2cJR;Dian Humpherston;278 Eggendart Plaza;36;-4
12607458M;vY753I;Fawne Reed;70 Prairie Rose Lane;39;1
12622429G;6KgBSn38;Nial Prosh;2 Myrtle Terrace;42;-8
12638623A;BzX5MrGV2;Ottilie Chisholm;03594 Aberg Drive;42;-1
12646721N;nPqXFN;Ewan Winch;186 Claremont Trail;39;-9
12653535Q;B4eQJsLUIs6S;Gabriela Lempenny;50 Cottonwood Point;41;-2
12654161D;m3YUXgQu5D;Anita Leband;188 Oakridge Street;43;0
12658099Q;6H78BZqrNXYo;Anica Beranek;9 Columbus Way;41;-2
12667142T;gBKHHjVi;Locke Flecknell;72 Summer Ridge Junction;37;-3
12708878Z;fSJjnOiCD1;Fara Sailor;113 Granby Street;36;-5
12720276O;TEw80IcRb2;Jammie Clooney;3 Cascade Crossing;37;-1
12728094W;CxC6wX1A1x;Nikki Stainsby;4801 Columbus Court;36;-3
12736110E;F9Lt6K;Karna Hacaud;78 Montana Street;41;-5
12742292U;Xnr0QV13B;Cornie Matura;4436 Oneill Center;40;-0
12746303M;NI3R05PBlK;Joline Rubenovic;800 Steensland Street;36;-3
12750480O;HAAhUz0;Dianna Hannigan;47080 Reinke Lane;43;-3
12754573H;7fdl1lelYYW1;Hurleigh Chasmer;81 Algoma Avenue;37;-7
12758793B;h4apso;Cristionna MacMenamie;980 Atwood Junction;39;-6
12766170E;j11twgpwH;Georges Degue;3385 Drewry Center;37;2
12768853X;IxyBxUl5tK;Maryellen Fidelli;700 Florence Parkway;36;-7
12774825V;JZIChZF;Darby Lethby;98158 Bunker Hill Street;36;-6
12784981H;JbdqW7C;Brion Fawbert;84 Summer Ridge Circle;39;-0
12799565S;yTt4uqXNwXn;Wandis Grenville;986 Garrison Parkway;41;1
12799615W;s502IZA;Shara Ebi;6588 Sommers Terrace;36;-4
12803219L;qDYfoJPb;Henrieta Abbati;93405 Burrows Avenue;40;-2
12805448B;xtKRfg;Carlin Taile;2527 Jay Parkway;36;1
12809243C;5SCQF6;Lindsey Muffett;158 Roxbury Center;37;-0
12820904C;wGQQeNp;Alysa McCaughey;777 Messerschmidt Way;42;-6
12824118G;9z5aKN19wV94;Cecilla Andrejevic;0 3rd Road;40;-0
12833868J;aZ5bYLu7Ej39;Hammad Cottle;402 Burning Wood Crossing;37;-5
12840147S;Ibf71K;Xylia Westhofer;706 Heath Alley;38;-1
12841135Y;DZS63b;Holden Burney;84 Di Loreto Crossing;37;-8
12844159N;FTNrTuA;Lorne Jakolevitch;6467 Bashford Plaza;37;-8
12852973P;rHdOR8;Skipton Arcase;960 Dayton Lane;35;-2
12856017W;ESKVSSw;Odille Okker;292 Parkside Junction;40;-7
12857104I;KZB5P5eYkZ;Cristina Gellion;0121 Troy Avenue;41;1
12858236C;X9v5i7JJbZfE;Kylie Vittore;0 Becker Junction;42;-0
12860641M;jJkiAKLOQ0;Bambi Gorst;62483 Corry Road;36;2
12862315U;EgPGPcyDQ;Creight Tampion;0 Delaware Hill;36;2
12865850W;thPZ5uP;Vanya Markwell;5372 Buell Trail;42;-2
12876828D;IuErWWMSEf;Rasla Aiskovitch;4 Sommers Street;40;1
12877442T;BFjItCvnUUI;Welch Arni;75279 Hazelcrest Crossing;43;-0
12878673D;WFNReHczNL1U;Vanya Hebner;4112 Arrowood Crossing;37;-8
12887539X;uV678t;Freddy Bickerdicke;0 Acker Avenue;37;-5
12903939P;ALbIIP;Loy Waistell;6 Morningstar Crossing;39;-5
12909452Z;0d7g3l3w;Carlotta Kinglake;7533 Northwestern Trail;36;-4
12909833U;tMObAW5;Geneva Falconbridge;5 Huxley Terrace;41;-1
12917260R;THl52w5A;Susannah Fossett;99 Knutson Avenue;38;0
12925814Q;wZGIZe5LQr8;Web Rideout;8977 5th Center;37;-7
12927358P;r9On0WNFx;Feodor Cochrane;07 Comanche Center;41;-5
12933717J;bIBhOdInGTh;Michal Windsor;13 Cascade Park;37;-7
12951405J;Hi0GEaxRRe;Frasco Glayzer;6550 Mcguire Parkway;42;-1
12967916O;s1pSBBL;Alexina Huebner;8 Sheridan Court;37;2
12981318Q;rWQrw2orB;Garwin McCraine;6 Hayes Crossing;36;-6
12991774C;an27FqY8gze;Zach Magne;6 Doe Crossing Parkway;40;-0
13044026M;8qogyBLOASf;Claudius Houson;51610 Burning Wood Center;42;-1
13062811G;ZOuGH4a;Saidee Dennerley;9318 Cordelia Trail;42;-8
13090035G;38tYopVXDftp;Vyky Gostridge;2150 Burning Wood Place;38;-5
13090919I;TF92AMdI7;Andros Warin;672 Vernon Lane;37;-9
13095990D;5vRH5e7Troo;Elenore Mingardi;086 Shelley Plaza;40;1
13102196W;TPjmfnEuyZ;Armando Mayoral;067 Michigan Park;39;-3
13135850P;3I5b2K9;Earvin Ibberson;111 Mosinee Crossing;41;0
13138310D;VpQN8ozBnZPC;Elysha Gainfort;1222 Arrowood Hill;42;-5
13142455N;w3YdSqu;Micheline Gumn;23870 Montana Junction;38;-8
13160364W;2FPy0g61f;Hillard Tynnan;72840 Lyons Junction;39;2
13161653T;PWQRC9IU7ub;Ali Gaven;221 Cherokee Plaza;42;-6
13162925R;7DBUCRmIe3;Manon Brockelsby;0 Village Green Junction;38;-4
13176046W;xnbvHVA2mp;Theda Nairne;7472 Monica Trail;36;-8
13177716B;nyc4GYbksuxg;Bennett Simes;37 Browning Park;42;-1
13179711H;w1t4VA6;Felicdad Smallpiece;88662 Bluestem Hill;36;-7
13206999C;fr3SDd6;Karol Lackie;3 Warbler Plaza;42;2
13207116O;7K0iQWy;Thacher Boykett;39 Acker Center;39;-2
13209904F;8sCE2sk8t;Merrel Umpleby;6 Messerschmidt Parkway;36;-2
13226825D;Ezl8Yoq2iB;Agathe Romi;50663 Anthes Hill;43;-1
13234797R;JjfNVQ;Shane Cufflin;92140 Scoville Way;39;3
13261492W;Lq9h2fphfOe9;Jorge Clutton;90464 Lighthouse Bay Avenue;37;2
13266175T;umwiqILh;Irwin Moughton;215 North Avenue;38;1
13272298W;7aKbpBG8S;El Sultan;6 Sunbrook Pass;40;-3
13278588P;6ZczZwAuC;Sloan Nutkins;94253 Loeprich Lane;40;-9
13309649V;gog2fj0;Pierette Hussey;106 Meadow Ridge Junction;42;-8
13310352U;HaYkgRaBt;Arlee Dunphie;155 Upham Park;37;-2
13313120I;T1hMpEmOY;Donn Blenkhorn;95238 Parkside Center;43;-7
13319024V;6UmJBJ7;Homer Scouler;934 Hoffman Center;42;-3
13319715J;qSUtHQWaaA;Scottie Dener;5303 Schmedeman Parkway;37;-3
13332795A;YBcrY1VZpH;Danika Wipper;67786 School Parkway;42;2
13365676F;61U4cxN;Rurik Kenninghan;816 Cherokee Court;41;0
13367672X;X3EunZ;Ruggiero Inston;5 Goodland Hill;40;-1
13371335Y;fG6NAeNHGr;Odo Learmouth;94 Alpine Way;42;-4
13377172W;BxUtjnAu9MR6;Buddie Witul;58 Ridgeview Circle;37;-0
13389721X;8PGsZc8;Elysia Scafe;3 Sage Street;39;-7
13394023B;Nnk1E2M;Aridatha Mergue;76 Sugar Plaza;38;-2
13395905V;reuvt9qJ2lCB;Bobinette Snowding;5344 Manitowish Street;42;1
13398637N;0jmga4fn6N;Ceil Strickland;3223 Gale Park;36;3
13399195F;vZXV7AH8HKv;Gussy Moss;939 Briar Crest Park;39;-3
13403291Q;6aBG7nA9i;Edgardo Josland;4477 John Wall Road;37;-8
13408830R;yRIuxUPV7KcN;Salim Illing;7 Magdeline Circle;42;-1
13414024Z;hQVOUizL0;Lisha Clemenson;16 Arapahoe Circle;39;2
13414471B;7PlZkFeE6ZJ;Friederike Stennings;16 Westend Trail;42;1
13439529N;WOMmdbl8rGnI;Rustin Thompstone;26578 Ridgeway Circle;36;-3
13480056M;DVxWLvBCoIT3;Richart Simkins;66619 Fairview Plaza;40;1
13494256K;cKC9basIGWy;Adrian Molen;4 Stoughton Trail;36;0
13497164Z;nLNbRkvTqj4;Faina Deery;035 Hanson Junction;43;2
13505894N;LSRlj85u5Cod;Nevsa Dealey;79 Annamark Drive;37;-0
13527229B;o4luYyTsbsVU;Bertrando Anthon;4512 Porter Trail;40;0
13533081S;9qSo9M8NYi4;Sonia Dryburgh;5899 Lakewood Gardens Crossing;39;-1
13563339E;EF8EVQOag;Winnifred Brauns;92573 Springview Avenue;43;-6
13570597S;uvz64l0nzK;Wash Brailsford;8281 Waywood Drive;40;-9
13578800X;H5z5Bxwbhscv;Menard Matissoff;9 Trailsway Pass;41;-8
13597917D;hHyEQKCSGYHI;Henrieta Fassbindler;9 Rutledge Way;40;-6
13622897U;GwCBKlg;Clemmie Farran;4950 Claremont Alley;37;-3
13626158I;YTlGwcXpEaM;Gabey Garbert;5 Badeau Lane;39;-8
13630220U;yPhmpNpm;Orion MacDowall;31 Loeprich Park;36;2
13635301K;5hHjRGTIkmof;Filmer Inmett;89 Brentwood Hill;38;-9
13653631Q;LsjUoZWJ;Sanson Matyushkin;7214 Blue Bill Park Pass;39;-4
13653974U;ZDo0Xt;Elka Sprankling;0 Lindbergh Avenue;37;-0
13661765M;kh8MtjKdu3j;Wilmette Paffot;6154 Heath Drive;42;-1
13662971Y;7gnzWXHtJR;Harbert Denisyev;7 Rutledge Road;38;2
13665942Z;X4tMlRoswa;Kele Casina;37337 Service Street;39;1
13673496T;sHesFnQp8dPT;Harv Van Son;6 Main Point;41;-4
13677142N;4yomhAIv2;Tabor Abelwhite;93604 Eliot Place;41;-8
13677622H;4XQDI0HLQjXo;Ferrell Waith;39 Birchwood Trail;38;1
13692347X;TRPBL24s9zdI;Kenon Saggs;2 Muir Junction;38;-5
13695582Q;Z5u0Vh0EGZ8;Blancha Rosenblum;876 Stuart Terrace;35;1
13708474V;yAsYDi5Dy;Moll Pickles;8859 Hazelcrest Point;41;-2
13710990I;Mqp0m337Ty4;Lyda Silversmidt;69 Oak Valley Avenue;37;-3
13720177C;4jzPSLa;Dru Castellet;17038 Hagan Alley;35;-2
13720871G;DpWzgpwGObw;Pegeen Dudding;91 Memorial Way;37;-8
13746235D;7pLimBO;Selia Ganford;180 International Place;40;-3
13751370K;7pXVqy3yozXE;Megen Halsworth;0 Farragut Place;38;-6
13751920J;rbTsNA8o;Estelle Schach;402 Gale Point;36;-7
13778537P;ouwxQWNgqSM;Tandie Nast;03308 Hanson Lane;37;-0
13779308I;61Q6kx;Ernesta Roj;58659 Coolidge Street;40;1
13782152C;Pga2KdIyxE;Abagael Maddock;9849 Myrtle Road;36;-0
13807552O;TH70J0k;Agata Gilbank;054 Manitowish Terrace;40;0
13812121N;e4e6jDkgIv;Merrili Caldeyroux;5 Maywood Center;41;-0
13815258L;9y3VcrNK;Hyacinthe Dearnley;5 Karstens Hill;36;-6
13821518H;moylyrE15C7;Lynette Swannie;124 Melby Parkway;38;-6
13846570E;LhrlaykN;Dennet Busson;603 Columbus Junction;41;0
13865052D;kkMtmiy7Z;Lane Colicot;5352 Michigan Point;42;1
13866422N;RYgqGFXObP;Malynda Windas;1 Badeau Street;41;-8
13868173Y;iTpr9IuYB;Normand Zoephel;75 Anniversary Alley;38;-7
13880035P;d4FzinONY;Lorinda Lyness;887 Tomscot Pass;41;-1
13886330Z;S6aVoqw1;Vida Pulford;8 Beilfuss Alley;37;-3
13886788B;1PVCR6;Cecilio MacNulty;10474 Debs Point;40;-4
13902183D;DvnlP082UO0;Parke Suttill;47461 Bartelt Park;41;-0
13902908E;33Hf8riExEK;Ravi Landsbury;909 Golf View Crossing;41;-2
13922650I;rmPTtgyHyI;Arnie Normanvill;6425 Fordem Circle;37;-9
13924943R;JzWQKXnjEFvc;Gilberto Arunowicz;034 Old Shore Alley;40;-2
13925493T;wMUlQHX;Berton Fortie;3 Old Gate Trail;41;-5
13934408N;R8iJux;Byrann Orton;82865 Eagle Crest Crossing;42;-7
13943798Q;D5tzvRn;Isidor Ionnisian;61 Carpenter Hill;36;-6
13946308R;e8q7e5lR0I;Jim Mailey;0 Corben Road;41;3
13950386T;5r6kDv2AGyg8;Zorine Jereatt;92 Blaine Circle;40;-8
13984784Z;6wRJWMxUNX0;Joela Pellatt;52 Dennis Junction;36;0
13995225A;ovjlBcPsp;Janine Matovic;168 Coleman Plaza;42;2
14020116Z;7bl3yTFu7HRF;Denys Gilpillan;54 Buell Point;42;1
14026684O;382tUDl;Carlina McGrotty;62866 Hazelcrest Parkway;42;3
14029835P;cK54bTA6nhU;Micky Honisch;96 Lakewood Gardens Trail;39;3
14041008S;TPKyO00Lc;Theodora Baigent;45 Northport Circle;42;-5
14044715Y;L2bda2cs;Cristen Barten;89017 Reinke Court;36;-5
14085061M;XU15OIGLksV;Calv Trowbridge;1735 Swallow Lane;41;-4
14119528Z;nm2tdQhwkxN;Nariko Drewry;7 Hayes Center;39;-1
14121697G;1BxKHNdVy;Jacquelynn Ciccottio;4651 Scott Crossing;39;-6
14141702Q;AsGbEy;Ella Blenkharn;99799 Hanson Junction;36;0
14162430W;lbnQQoSTwkav;Dorian Goldsack;1517 Loftsgordon Pass;40;-8
14167026S;bpmExNOl;Ardith Naden;47 Harbort Parkway;39;-5
14173195I;3dnoVE7i4TX0;Trescha Galey;396 Pond Avenue;38;-6
14177557N;gJ7nmOdb;Kristy Blinkhorn;966 Towne Alley;36;-7
14181924C;CgInk88sPm;Caleb McCrie;248 Drewry Pass;42;-1
14191514S;vXaVlgX3z9y;Arly Heaton;86186 Del Mar Trail;40;0
14191807V;8ahxmBa;Gayleen Johann;5477 Upham Court;38;-6
14206418L;3rNHWzz1Nba3;Tabor Richings;298 Center Terrace;41;1
14209826B;a8LTYv;Stacee Le Frank;1 Mcbride Road;38;-2
14217849T;DO8Z1ShHg2g;Dorris Kyndred;10 Pierstorff Junction;40;-2
14227811I;NRAxRKjHnHg;Ludvig Thorp;27 Reinke Point;40;-3
14233574F;PxVlmv;Christina Langmuir;79 Duke Lane;36;2
14264735A;sP1MMcaW2;Llywellyn holmes;6 Golf Hill;39;1
14271227I;dKGX8UI;Simone Grammer;566 Hayes Circle;41;0
14271834X;aUmkgRUyy;Wilt Bullent;2 Mariners Cove Crossing;41;3
14289661O;KaSb5ub;Shir Dunlap;34930 Sunfield Park;38;-5
14297224B;Ed634EB1A;Breena Smelley;07 Hooker Park;40;-1
14306042B;F3WD9Vn2mmd;Huntley Ible;99093 Pearson Way;40;-7
14311906J;wvDPCh;Franklyn Jindrak;44485 Morningstar Hill;37;-5
14317874E;dvenhH;Willis Stephenson;3 Saint Paul Plaza;38;-5
14318078H;w82c5l;Jeannie Penas;19 La Follette Park;40;-6
14331506F;FImNGb8;Tymon Polye;47 Bonner Lane;38;-4
14339516Q;rqcjOm;Beryle Cottee;4 Glacier Hill Place;41;1
14340010C;VQt7bR;Mordecai Hauxwell;9 Manitowish Hill;37;0
14350536H;WuIV17d;Amalee Fulmen;75 Jenna Trail;41;-8
14358609X;nGJT0fdpNZ;Bernard Slatcher;06708 Judy Lane;38;2
14369540P;JJ6dMf;Flossie Possek;12 Kropf Terrace;41;-1
14370812L;R16ZPArPh21Y;Israel Cantrill;6072 Moulton Street;37;-3
14388663T;aiTPKW;Silas Dybell;34 Fisk Plaza;41;0
14394732D;igNDCYQFgqsg;Dieter Shankle;500 Lakeland Lane;40;-1
14400022W;xV41j9UsAfbc;Anabel Ackenson;5 Lillian Drive;38;-1
14403001N;iirW58z;Eba Taks;23987 Troy Place;36;-7
14406007S;6gtS5vq0l;Marla Cope;359 Red Cloud Alley;42;-0
14406342A;ayiCWjLBbq;Tonia Saddington;5632 Fremont Crossing;38;-6
14424108H;Z8ZytKvnf1;Frankie Kinze;99 Homewood Drive;36;-8
14438995H;6cYiSl57gz;Dunn Paradyce;43 Declaration Trail;37;1
14455114S;yxHiskV;Rem Coad;69 Marquette Road;36;-4
14457229O;BfDT8AT;Edd Anstis;0603 Butterfield Avenue;40;-7
14468350X;GtqXLOCuP;Guthrie Rattrie;63 Bultman Avenue;42;0
14487920J;RCrhzif;Marcellus Edridge;00560 Washington Crossing;38;-1
14504169L;8oaGLqrenD9;Marlane Coupe;59 Valley Edge Circle;40;-0
14508579M;LXhTRYax;Averil Varran;2 Rowland Pass;41;-5
14513743N;or9hCnQh9To9;Gennifer Kochlin;3 Lakeland Park;39;1
14519403E;eZNFgX9eVSR;Creight Neads;131 Utah Road;37;-1
14522805O;1iTsaprrk;Magdalen Wombwell;5905 Arkansas Place;37;-0
14526074L;W6J24jYRhY;Piggy Handscomb;4 Clyde Gallagher Trail;39;-9
14539067J;c3qOdF;Borden Anten;54090 Arkansas Way;42;2
14553956I;1L4y5LhLX;Krysta Cudbertson;9776 Donald Terrace;37;-5
14555224W;0eo2VAXC;Rowan Doe;4 Lukken Crossing;40;0
14562643X;TB0b6at4Z;Ame Dodgson;8323 Emmet Road;37;-7
14604350X;4P5OxwuMahM6;Ethelbert Redemile;050 Shoshone Road;38;2
14616441W;B9sQ0PV6Kw8q;Johannes Rangeley;1 Sycamore Road;36;-0
14627901R;zfkjLw4;Verina Charity;766 Carberry Terrace;38;-8
14645214D;S0tMULvllr;Lilah McGrayle;0540 Dayton Parkway;37;0
14664336I;gfipBUYp;Paulita Langstaff;2866 Calypso Hill;41;-2
14690173H;GJESNKd;Torrey Henke;128 Crowley Road;40;-2
14739549E;18k0L4tmY;Laura Abramovic;59116 Bunker Hill Road;38;-6
14745348I;bDCNYHiZe;Joshia Josselson;1 Golden Leaf Place;37;-5
14747886B;rgciSDXmvX;Pryce Littledyke;59 Starling Parkway;38;-6
14764344N;hW5o6H;Shaun Benedit;8410 Lukken Parkway;36;-7
14770632W;euJdiR4p;Gaby Pairpoint;8551 Menomonie Trail;41;-2
14794286P;JW6HyNWi;Isobel Mularkey;8 Westport Court;42;0
14810436P;QFGbjV;Kandace Griffith;257 Macpherson Place;38;-0
14811076O;J4fa1Hkk5mH;Moise Spracklin;5 Sutherland Center;38;-1
14813804B;5cwzDRBf8A;Kiele Simonson;7422 Jenna Junction;42;-5
14839495F;2mo7y8fnV0f;Felicia Gantlett;13 Texas Park;40;3
14851654Q;QYdO7WX;Janene Pigeon;26880 Dapin Court;41;-5
14887377Z;xbDwg9k;Oren Eaden;9 Summit Center;37;-4
14898207S;sfK7BaHZM;Timmi Liddyard;5913 Golf Park;39;-4
14902921Y;mqRnQrz6W;Maurice Woodburne;150 Mccormick Way;37;-0
14913229P;UxE0TitLOt;Reginald Babbage;49634 Sage Plaza;40;-1
14931182B;jZV1ZBw4K;Hinze Geck;0614 Ronald Regan Trail;40;-3
14941514Y;iQf3kg;Alec Keller;0 Donald Park;39;-1
14953280H;9Rhxcf;Cherise Winspur;490 Mcbride Crossing;41;-7
14975417I;hZWHQ7XqDMc;Clea Waberer;86 Cherokee Way;36;-0
14986538H;nynhdj;Jermain Brandom;6 Kennedy Parkway;37;0
14991171L;w1w7LF7mSO;Valentijn Rickaert;86 Brown Way;40;-4
15014579O;BDSOUPB3bSK0;Cecile Clail;6 Sherman Street;37;-7
15017205H;mkJGKC3o14t;Heath Gallardo;41131 Twin Pines Place;41;2
15021290U;Bm0dz9GmjER;Emlen Twelftree;839 Parkside Hill;40;-5
15026769I;84uFYJxO5;Elroy Aslet;671 Forest Dale Drive;41;-7
15029756J;GrR1WAjCx8bx;Mag Miner;27 Pearson Lane;41;-9
15042483N;zAqpljNnpE7;Evangelin Rumsby;795 Melby Place;41;-0
15042850C;4R4X5yCqFS;Corliss Romme;0036 Caliangt Circle;36;0
15066049X;EepsHn4S1T;Dino Clementson;398 Westerfield Terrace;39;1
15074271J;gP9BEJEN5sf;Maudie Vosper;82077 Anhalt Crossing;37;-1
15081610U;SOy9YD4rd;Noelle Boddice;5 Russell Plaza;41;-7
15096044X;9AiCi1;Heriberto Bailles;253 Stang Court;40;0
15098324P;mdGvgLx9iU;Alfonse Fiennes;63 Pond Parkway;39;-2
15102758R;uJqMpg;Jamesy Noton;125 Beilfuss Avenue;39;-7
15117721H;28we2TNJ1K;Oralla Folds;8091 Farragut Pass;41;0
15126280P;CAYLb2J;Angy McKnockiter;70081 Dorton Park;37;-1
15127934M;ip7GHj;Fabien Mickleburgh;99562 Kennedy Alley;36;-5
15129520L;tFMADev;Kathy Stidson;3966 Harper Center;36;-7
15139485Q;emn9jlxSvlY;Izzy Yarnold;683 Schmedeman Pass;43;-8
15144233A;5xPhufFhmEr;Paxon Barrass;8023 Saint Paul Hill;37;1
15146674B;kLnDWMxJ;Valenka Goodings;559 Maywood Terrace;41;-5
15160508X;0dP9j5N4B;Kaspar Weighell;84986 Southridge Junction;41;-2
15164921F;K24mtJjwV7p;Martica Cunrado;9685 Summerview Point;38;-5
15165804W;KIKVM5eliq;Avram Keppel;97 Morrow Trail;40;-1
15180803U;qwaygJvGtUy;Skipp Barens;3365 American Ash Alley;36;-4
15224323O;M4JL709GRfi;Delora Matschke;019 Muir Center;43;-8
15234072A;IUmWCI6wx;Sergent Porteous;528 Mayer Avenue;37;-7
15236823G;NHMhZrCFCy;Adolpho Rubens;004 Chive Plaza;40;-6
15237939W;FHp2Cvt;Lizbeth Treweela;12283 Troy Alley;41;-1
15259414X;5TYmip;Woodrow McLewd;36 Towne Center;37;-3
15267890P;DSUzMg5OU0W;Elbertine Broy;60801 Burning Wood Terrace;40;-3
15268414H;8wZ75a5tyRjd;Henrik Bodicam;263 Twin Pines Crossing;41;-1
15282496V;7mEt6zKFsG9;Adolpho McVitie;73 Melby Court;36;-9
15286241F;7JF4ujOm;Hobart Hullin;10662 Fordem Place;39;1
15288858M;XWAusBsq;Sherwin Ferns;32 Coleman Drive;42;-6
