;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2;0;
23577419B;bALepBDTnv;Virgil Le land;888 Dakota Pass;38;-6;0;
23587671I;Frot3I;Tommi Burner;73 Scofield Lane;41;-7;0;
23602009X;Unrspa;Angeline McShirrie;1 Elgar Park;39;-4;0;
23621621N;OMQXMOhEE;Alphonso Budgey;62434 Clove Plaza;37;-0;0;
23626734W;ELfxDdZu9;Rodina Grabbam;21 Maywood Court;36;1;0;
23635255X;39M4qY2DFaFD;Eleni Itschakov;493 Oxford Street;40;-7;0;
23641184R;6Uwuz7CdrH;Kristel Smallthwaite;91989 Milwaukee Circle;40;-8;0;
23656946V;hwfbK4Wjs;Carline Fernie;50 Lyons Court;43;-8;0;
23671823K;9SGpVY;Zollie Dufty;06130 Menomonie Plaza;43;0;0;
23679456Z;4oGci9Gmo;Reeba Vampouille;57301 Esch Plaza;41;-7;0;
23682105E;FqZo69Gn;Cosette Acome;760 Forest Avenue;41;-6;0;
23687037S;IsQp7odlnc;Rudyard O'Hengerty;0 Rieder Lane;39;0;0;
23689289U;97rJhP1zhRo;Jenni Lademann;7836 Gale Circle;36;-8;0;
23690104A;UIc0vNBXto;Trace Salzberger;94 Express Junction;43;1;0;
23691783M;W45013mau;Merline Brockington;9685 Rockefeller Parkway;39;-9;0;
23694042X;EY7gySl2WiX;Kerri Jacobi;86518 Meadow Vale Place;39;-0;0;
23701242P;AHUm1jBi9C;Obed McKilroe;720 Londonderry Center;41;-7;0;
23714413W;LOUy1UjcuCy;Devy Konzel;062 Atwood Court;36;3;0;
23718316L;DNUtniWu;Shena Ashforth;2 Stephen Avenue;37;-2;0;
23740943V;MKpvpc7pJUc;Meg Bentick;1 Washington Place;36;-7;0;
23747731Z;rTx8vl9KjUZT;Ambrosius Itzhayek;88453 Evergreen Alley;37;-7;0;
23769208N;jBoFaHGAK;Duke Wratten;738 Dakota Junction;40;0;0;
23771174X;1Wnqpi;Marta Severy;727 Springs Center;42;-4;0;
23777593S;egtE3Qh2UyW;Kelly Cordeux;512 Maryland Park;41;1;0;
23777882F;QbU2gnN3W;Anitra Jesson;7 Sommers Court;36;3;0;
23788596D;l1KXBTrdPMIE;Binky Kinneir;165 Texas Center;36;0;0;
23794291D;xFcQZWuL6;Arlen Steutly;9641 Golf Course Crossing;40;-5;0;
23800385O;HSne3VzHye;Arielle Desouza;6 Lakeland Hill;42;-7;0;
23803461J;ASqgCr;Oneida Gibbeson;38 Porter Avenue;37;-8;0;
23805677V;8x34Uu6;Raf Eggerton;70 Jackson Point;37;-3;0;
23806480L;9Fa4bpvbYLAB;Bonnie Thibodeaux;770 Manufacturers Hill;36;-2;0;
23807229O;vcGfr93M35;Ertha Carryer;8590 Gale Pass;40;-6;0;
23840699Y;aydZRysr7Nb;Caterina Rides;492 Butterfield Plaza;38;-3;0;
23846068J;OjylV6hD;Tait Banbridge;001 Marcy Drive;40;-5;0;
23850358F;SgIvO1SyDSCK;Juditha Calow;172 Badeau Alley;39;-2;0;
23856415A;gu7p5Mv;Mimi Keen;429 Cody Terrace;39;2;0;
23857748L;iwzVQ27qD6pH;Trix Bleasdille;71 Hooker Alley;38;-1;0;
23884860R;6UN9hiHR;Page Lehrer;71473 Clemons Circle;40;-4;0;
23887541A;65mymi;Rozelle Crummie;64309 Pankratz Alley;37;-5;0;
23891469R;Cm2A614;Trescha Hiom;2 Grasskamp Street;39;-0;0;
23914439G;ezRSdHDUX;Eadith Simmig;15 Boyd Way;40;-8;0;
23924714H;MB5Xeuw;Crawford McMonnies;2 Stoughton Way;38;-3;0;
23955390U;1ziQaLFhT;Humfrey Burl;6 Sunnyside Trail;42;3;0;
23960274C;wAEEoLlKHKgE;Ban Marder;8988 Summer Ridge Park;43;-2;0;
23981529C;THEMubIBHDtm;Giulia Ramble;11077 Morningstar Terrace;42;1;0;
23990564R;34cRsN;Thomasa Dufaur;04 Moose Drive;37;-6;0;
23996938R;m6vukjsc6tXX;Briano Dilleston;7059 Eagle Crest Hill;38;-9;0;
24010288G;jKjwdwCYh1;Mela Napolitano;685 Sunfield Parkway;42;-2;0;
24021621Q;CDal6JS18XzB;Kari Wayland;0537 Beilfuss Lane;39;0;0;
24025243R;1VDCqSOhM7B;Tadeas Hadkins;2018 Trailsway Street;37;-6;0;
24027711E;hKbAvoAPFcic;Dory Snailham;03 Russell Pass;38;-5;0;
24030215S;e8j2chiu6;Teador Girkins;56264 Lyons Hill;40;-6;0;
24044488U;IwpFuJ5Tc;Sal Calvey;3 Grayhawk Trail;37;1;0;
24067134Q;4TccBQ;Karlen Roubeix;25 Rockefeller Terrace;42;-2;0;
24073796A;gJ771B;Chase Smurfit;04413 Westend Crossing;40;-1;0;
24080312O;4sALRg;Sonia Tayloe;664 Havey Road;38;-6;0;
24093695G;YixCrWv;Urbain Allmann;49945 Drewry Lane;40;-3;0;
24093791R;7jv0oYT;Brodie Pirouet;521 Anzinger Way;41;-2;0;
24095012Y;J0gwDoZb;Dorrie Linggard;1815 Claremont Park;39;2;0;
24101696P;aiZkkfkZ;Linnie Galland;28278 Elgar Trail;42;1;0;
24109434W;WDaeha7E7;Lambert Laminman;39569 Roxbury Pass;40;1;0;
24114776L;Jui6qyO;Mandel Wickrath;06039 Farmco Point;38;2;0;
24119095X;cFFL7x;Izabel Cannon;26980 Lukken Trail;40;-2;0;
24126706P;QJWutf;Harman Borkin;0 Hanson Plaza;41;-1;0;
24126913Y;A9lw0TAMXvZh;Herve Wrout;3653 Logan Center;41;0;0;
24129665G;LTDPUINlJA;Jodi Bodycomb;1 Transport Place;42;1;0;
24132916K;NjMC3Mur1kf;Stefania Willimont;92972 Sachs Way;41;1;0;
24135375Q;tV0nCCSg;Stinky Kyteley;2 Lake View Terrace;42;-8;0;
24138217N;bomtoEBIcsWK;Granthem Watkinson;4 Boyd Trail;38;-8;0;
24153263G;qtFqtbZWC;Bob Nuttall;6 Main Road;40;1;0;
24167461C;oAjbNl;Russ Aulds;79989 Harbort Trail;38;0;0;
24169176B;9NYWfnEtxElf;Honey Tipling;719 Merry Street;39;0;0;
24176890K;8FX0FuMSe2;Rosalyn Saberton;7 Knutson Hill;42;-8;0;
24188489F;gaAgIaoV;Roze Deas;9 Shopko Court;36;-3;0;
24193676Y;xkDg6vEg5;Iolande Waterworth;1101 Hazelcrest Place;41;-7;0;
24203854N;de9VvK9i;Conrade Pedrick;066 Dahle Trail;38;3;0;
24216835Y;iB6LKQPo;Mollie Hutt;1 Claremont Terrace;41;-8;0;
24218152O;BshCkTB2w0JZ;Sergeant Hurdle;1029 Fordem Avenue;38;0;0;
24223231P;214o2HXxPC9k;Addia Newe;37572 Gerald Court;37;-1;0;
24227282J;QHZ1tDQ;Jone Alps;5279 Paget Place;37;-8;0;
24231813I;tQjWWkieYf8;Pippy Scougal;5 Moland Trail;37;-7;0;
24239666D;gUbqpXU2NIW;Maurita Yockney;4 Arizona Court;36;2;0;
24242105C;DNvYhmaVM6s0;Erin Pacitti;5 Warbler Crossing;36;-5;0;
24259569Y;sDUr4dfjTpQ;Almeta Beagley;45975 Holmberg Street;39;-8;0;
24271354A;aTcDuUTpPo06;Pinchas Haining;3876 Elka Park;39;2;0;
24278733B;1oWoBM2;Nerta Dyka;0276 Northridge Junction;40;0;0;
24293223C;IItLi8WESR;Bail Snodin;4 Golf View Plaza;38;-1;0;
24298160B;1fjZHC;Brenna McGrane;42084 Dexter Road;41;-2;0;
24300400P;bgtdMnu;Ivan Mannock;8057 Nobel Center;38;-1;0;
24307903Y;FfwHs3L;Jelene Whannel;88731 Pleasure Plaza;39;-2;0;
24323789S;kf64yFA7bf;Darryl Nannoni;760 Farragut Road;36;1;0;
24325042A;eujyIKHx;Cherilynn Leighton;42161 Red Cloud Way;41;2;0;
24333563E;MWG9AaahRS;Marten Dilke;429 Twin Pines Plaza;36;1;0;
24341584N;ZHSpB092;Leoine Eckford;7843 Reindahl Lane;42;-5;0;
24357349Q;PdLOWqxrO;Darda Harhoff;3 Hoffman Place;42;-1;0;
24362377Q;tDEmuhB;Alicia Ondrasek;04 Hollow Ridge Alley;37;1;0;
24378133S;oV60sv;North Rycraft;34 Thompson Pass;39;-3;0;
24396537A;8SSD9VNIb;Aarika Tatnell;16775 Montana Court;42;-8;0;
24406824V;cPxcdo;Vinita Ranger;8511 Pierstorff Trail;41;-7;0;
24412296U;tIGpO3VK;Robin Scone;30931 Oneill Terrace;39;-4;0;
24437996U;1sAgrK6;Sindee Skilling;5741 Scofield Circle;38;-6;0;
24447648C;rLMx2HEq;Noellyn Wenban;53616 Bellgrove Place;42;-5;0;
24456828K;QAAg7zbi;Janessa Kenworthy;7 High Crossing Way;36;-5;0;
24467519T;tXXrWRa4;Ardelis Hurley;4815 Lukken Crossing;39;-3;0;
24489095D;VgORR02;Leese Grix;971 Mariners Cove Road;37;-5;0;
24494135Y;tLf1k0mWmH8u;Bobbi Quick;84464 South Way;40;-4;0;
24521538Y;eTKpF1Wq;Giovanna Sivorn;34750 Glendale Hill;38;-0;0;
24548536M;CyZxg0C;Noni Derry;89422 Utah Center;40;-1;0;
24551895V;0vmmDact;Rufus Andrzejczak;10546 8th Parkway;41;1;0;
24555325E;9t5JSYg;Ninette Jochanany;93599 Dapin Terrace;40;-5;0;
24561840N;aNIZ5w0;Zacharie Bridgement;4400 Ridgeview Road;38;-0;0;
24565651R;krohawIdv7v;Lyndy Roon;7 Randy Court;42;-2;0;
24566906P;GoTYpuXPoQd;Burg Bardwall;2111 Westport Alley;38;-2;0;
24568920E;ZdRSdyx6HTeu;Nye De Ambrosis;7889 Nevada Center;36;1;0;
24578141U;I1WkTe;Vittorio Nucciotti;3099 Fisk Street;36;-7;0;
24589201Y;Tm4YdNU;Liam Warrell;66 Esch Crossing;41;-5;0;
24593720W;kqMqBTiqU;Friedrich MacKintosh;591 Chive Alley;36;0;0;
24596174T;sIxsEprLUR1;Rosabelle Gemeau;56 Karstens Parkway;38;3;0;
24605715T;Uz0DT2Eil7b;Arie Pedron;5 Main Trail;42;-5;0;
24607249K;fdugRoHy;Gianina McCool;3293 1st Point;41;-7;0;
24620614J;hHIHeDe1O;Chelsie Josland;63808 Laurel Pass;39;-1;0;
24625860U;kLWxTC8P1;Garner Oswal;8780 Merrick Hill;37;-0;0;
24645422S;3ZuSOAf5a2wc;Alvina Heasly;43587 Express Lane;41;-8;0;
24649306Q;Um0Yoq;Vinnie Bouller;1 Everett Point;39;1;0;
24651975A;keZTAiBD;Lilly Reek;09 Center Pass;37;-0;0;
24652489L;RcRZtr;Valeria Reeve;842 Packers Court;40;-7;0;
24662739J;bFk7Ae;Nero Spincks;9579 Heffernan Road;36;-5;0;
24669271E;BAbzKKoBZ0U;Konstantin Andor;909 Longview Hill;39;-0;0;
24689949O;9pijb4Y;Gery Bohling;4658 Lunder Hill;41;-5;0;
24699720O;fZJcjZ3MwT;Shay Giorgini;419 Thompson Plaza;38;-4;0;
24707602O;qPBtKi4;Vivyan Skyram;9104 Springview Point;42;3;0;
24715637T;ZUKKAcoRNgRm;Pincus Currie;46194 Porter Parkway;41;1;0;
24715736K;MWkymrjcy;Prent Hurcombe;96 Tennyson Hill;37;-2;0;
24716639Q;hA27wexm5;Tanhya Titchen;0119 Clove Crossing;37;-7;0;
24719376C;1IWJrnA;Donn Maccaddie;18348 Quincy Road;39;-3;0;
24723301M;rOv48eXTBIb;Terrance Alliot;369 Fallview Circle;41;1;0;
24723956Z;oEtkZg9jBZ;Gilberta Vesco;51822 East Circle;37;-2;0;
24724381Z;S1bRMuO;Tracy Over;049 Gale Center;37;-5;0;
24729788C;cnIvRBL;Clint Lieb;23 Kropf Plaza;36;-6;0;
24734311J;s13Mw6F0;Lenora Cauthra;6 Orin Point;37;-4;0;
24739547L;OtAhaVfEtJx;Fidelio Heeley;0345 Maple Wood Lane;38;1;0;
24749476L;2KkeX551gq;Esta Tait;1 Farmco Drive;41;-4;0;
24768019Q;pyZWSApAG4;Colline Aggus;31194 Browning Terrace;41;-2;0;
24769227G;ZZ5InbJG;Vinny Whistlecroft;553 Little Fleur Way;41;-6;0;
24785146K;4YoAsG3ZhXT;Moishe Impey;2 Straubel Avenue;38;-0;0;
24807259Q;qBp7bJEFw;Alvis Stainton - Skinn;5 Bay Pass;42;2;0;
24816962G;4WRGc3;Jackie Jenkinson;27 Buena Vista Pass;38;0;0;
24819210S;10EH5yfWc6K;Land Attwooll;976 Reindahl Alley;39;-5;0;
24858350T;VLywo5le4vF8;Judye Sarson;8 Loomis Way;37;-3;0;
24862944S;S5Uzl5;Obie Tiltman;89 Armistice Pass;40;-3;0;
24864452V;E1N2ThV;Dominique Nehl;3126 Pankratz Plaza;39;-1;0;
24869031J;wtpu0XoAmCi;Libbi Mardle;085 Elmside Court;41;-4;0;
24896850J;97pSWyUZwp;Chrisy Broadnicke;394 Sherman Pass;40;0;0;
24902122C;PS3qvOoc10RJ;Asa Feldmesser;9 Sutherland Junction;39;-5;0;
24918518F;pqOcKNxOO;Tye Drinkhill;85664 Calypso Center;42;-5;0;
24920889I;qfk9tC;Meade Treher;910 Barby Place;39;-2;0;
24924371I;qXAGGlI;Fowler Ovise;9148 Colorado Parkway;40;2;0;
24953629W;PqpDAscAW;Madlin Kordt;78 Mesta Road;38;-0;0;
24954624Z;aMi7gIU;Eugen Scorrer;9 Kenwood Park;40;0;0;
24966797K;rgKjtorwyJK;Chucho Alu;0 Cascade Way;37;1;0;
24990885D;ZIVzuK;Ginny Lakenton;00175 Darwin Drive;39;-0;0;
25020863F;FA2N1CmKCcm;Peggie Paulino;84238 Barby Circle;43;-2;0;
25037330K;SRZuHx;Vivian Plaide;52526 Gerald Avenue;37;-0;0;
25039181C;DcSGpu7nVX;Dylan Lemerie;15228 Stang Street;39;0;0;
25041914I;7CGCp2Eq0l;Daffie Gerhts;817 Nevada Crossing;40;1;0;
25044369W;GpnxpJ3Js;Riobard Ainscow;9 Lien Pass;39;1;0;
25044851X;xY4IftfEi9tC;Amalea Arnholdt;86 Park Meadow Road;36;-3;0;
25062521K;jEaqmD;Philippine Farquar;9 Butternut Drive;36;-0;0;
25063241G;l38IO6;Morey Arkle;49453 Moulton Hill;41;-6;0;
25072540Q;JScKJuj0Ssn;Appolonia Swetland;0 Old Gate Way;39;-7;0;
25080652X;nrTINRrU;Mayor Pavitt;4 Golf View Crossing;42;-4;0;
25109486S;ireOJ8Ay3F1K;Clarey De Bruyne;892 Schmedeman Terrace;41;0;0;
25127368N;ompY6G4y4rd;Rosalia Aberkirdo;36520 Knutson Lane;38;-4;0;
25137187L;8AcUgA1GixM;Freda Skyppe;42 Lyons Way;39;-3;0;
25138469A;IhFY3NgW2;Patsy Hamly;65 Bonner Pass;41;-2;0;
25153732J;ewZLJM;Beau Felten;5973 Springs Hill;37;0;0;
25153990L;LoqZbtiff;Theodora Mattevi;56920 Trailsway Center;36;-1;0;
25166958E;wxJz9VXk;Brennan Laugheran;871 Bonner Lane;37;-2;0;
25188825M;ngWJCT;Myrilla Silversmid;82 Fisk Avenue;36;-2;0;
25217888Z;7BTa2uTqo;Kelcie Hadcock;186 Starling Circle;35;0;0;
25218779A;in5EzNqJYHXd;Spenser Hansell;414 Clemons Trail;41;3;0;
25221705S;4mFVyA5;Chrystel Edelston;963 Sunfield Point;36;2;0;
25224173R;psh7lohpJr;Goldia Begley;93592 Sunbrook Parkway;39;0;0;
25229096V;DukC2ISS5Gv;Toddy Gerrard;9 Jenna Parkway;40;-8;0;
25236272I;uSp5Ot;Cece Durran;29 Artisan Junction;40;0;0;
25257136X;KobbF6;Galvin Murr;0 Nobel Lane;37;2;0;
25262723P;1AU04nh4;Zechariah Jobey;56 Harper Hill;37;1;0;
25265106V;uYud9lv6Xgm;Winny Castlake;941 Carioca Alley;37;2;0;
25277903H;XpQ63Vb;Leonard Sholem;459 David Plaza;41;1;0;
25280342G;UM3s9gi;Blair Crombie;22645 Springs Lane;41;-6;0;
25318092R;nIXoOxy;Hans Bendixen;6 Spenser Street;38;-7;0;
25334573X;NFl0wJ;Arthur Bonnick;2 Kennedy Crossing;40;-5;0;
25348304O;TXb4H8S9;Hercule Cockitt;52236 Charing Cross Way;39;-4;0;
25349687C;XkjNWCaS;Conan Antognoni;39147 Granby Junction;42;1;0;
25352708N;FwpNaTBw;Sharity McGirr;43966 Oxford Plaza;37;-3;0;
25369326Q;QkGclKT;Osbert Vankin;2478 Lyons Center;39;-6;0;
25391464L;uo7l2PGVm;Fields Aindrais;89125 Acker Center;38;-0;0;
25391834X;qJwnBZG;Doroteya Ivankovic;3 Acker Crossing;38;-0;0;
25411470J;kqOM80x;Deeanne Lieb;8 Pearson Crossing;41;-1;0;
25445249O;3oWiCIZat;Shaughn Durtnel;48 Sunnyside Pass;35;-3;0;
25454102P;hT2AoN5d;Muriel Bissell;66556 Veith Road;38;-7;0;
25457129Q;HV0aNPS;Suzette Dumpleton;392 Hauk Avenue;38;-0;0;
25468288K;oFOVCzm;Ebonee Aizikovich;07 Hansons Plaza;39;-6;0;
25484775G;6969Qg;Clarissa Sparkwell;8449 Sunnyside Alley;38;1;0;
25494695F;3MZW0mRP;Norman Peddel;912 Kim Street;39;-0;0;
25502246N;aYHmk39;Donia Swindell;52 Randy Road;39;-2;0;
25521157U;V0KNpuLiGAdn;Raye Spavins;2 Lukken Street;38;-0;0;
25526412E;GXcYcew0tK;Winfred Gratrix;4 Eliot Park;41;-5;0;
25527007Y;4YOBycii;Ginni Ruegg;4524 Blaine Park;37;-6;0;
25535668H;fgC3FnQRNAR;Jeremias Vieyra;4654 Green Ridge Avenue;37;0;0;
25540760Q;qUJZAd;Lia Tapton;9 Spohn Avenue;38;2;0;
25557520A;0aOyrVAi;Reynold Strain;940 Reindahl Place;39;2;0;
25603145B;lbAZXLo0u;Annice Burrage;86191 North Alley;41;-3;0;
25620469G;gaNOOwzTO7cI;Renata Byford;937 Cherokee Drive;36;-3;0;
25624325K;HVeIWOtId9R;Ailee Wych;36 Dunning Crossing;36;1;0;
25635046O;LIZvwEni9;Tine Patry;241 Chive Crossing;41;-6;0;
25640291P;UFtsnf;Englebert Gater;70 Montana Road;38;1;0;
25664679R;2Kx70cqxk;Terrel Charpling;71836 Morningstar Hill;36;-4;0;
25670749X;u3UOUFAp5;Zorina Branwhite;67336 Mcbride Parkway;39;1;0;
25681108V;oY3XXPWafApn;Frasier Gianuzzi;87 Portage Road;38;-6;0;
25681667A;LR05Np;Jeanine Serraillier;454 Kinsman Crossing;42;2;0;
25682811B;UfrgjYoO6i;Randy Lytle;82 Schurz Point;36;-5;0;
25694331C;lYDbIr;Kristoforo Lauret;99310 Gina Circle;36;3;0;
25719869K;smGYA38z;Carolynn Watting;9 Corry Road;39;-1;0;
25726447G;xR0wmlR;Darlene Walkington;2 Pennsylvania Court;40;-3;0;
25741384J;Ztl60u7tv;Ivett Benettolo;8 Kennedy Terrace;37;-6;0;
25785089Y;dDHJxE;Nahum Hull;0 Oxford Plaza;41;-6;0;
25789417O;jHUqHgtOg2U;Giuseppe Whitsun;5 Northfield Drive;38;-1;0;
25795205E;AWvLyu1F3;Kimbra Gotcher;3 Shopko Place;42;-3;0;
25796120C;jUz6spve;Adolpho Belson;07376 Norway Maple Pass;36;-6;0;
25801078P;DnIzBHbvgi9t;Letitia Shaylor;6475 Gulseth Terrace;39;1;0;
25814164O;gTZCzEnG6A4;Veronica Lehrer;7304 Waywood Parkway;40;0;0;
25823716F;L5aILq;Rutter Terris;516 Petterle Street;35;-5;0;
25828780B;jJ7XFOC;Alphonso Warman;89 Coolidge Junction;36;-3;0;
25831620J;OnTwoioLao;Raimund Cradoc;6097 Brown Pass;37;-5;0;
25845585Z;Xn6KXCVDT;Jeanelle Abrashkin;77 Shopko Way;42;0;0;
25852140X;6fp6XoLV;Sonny McEvon;2558 Coolidge Junction;41;3;0;
25852789T;O0PaR7;Gael Josskoviz;9 Warner Avenue;43;-0;0;
25859487E;bAhiej;Goran Rickert;7 Dovetail Drive;41;-7;0;
25877597I;7MIy7eP4vcw5;Slade Laughlan;2757 Burrows Plaza;39;-4;0;
25881710I;9nwb5OD0;Thaine Joderli;779 Fremont Center;42;-4;0;
25893814U;R6svFTgMZEa8;Tiffy Dauber;1030 Melby Circle;37;0;0;
25911592A;NsZadYRjj;Gilbertina Beedham;1 Pennsylvania Junction;36;-8;0;
25923381G;QJh2rz;Valry Stoney;5877 Graedel Alley;42;-0;0;
25930084E;IxarZjSvAn6;Melvyn L' Estrange;58 Messerschmidt Parkway;41;1;0;
25936996O;CjxRvOClbO;Casey Skene;41 Waxwing Park;40;-1;0;
25952174A;RPzWsv;Sayre Huddles;5 Pond Junction;36;0;0;
25959358W;boeYa3NSI6b;Karla Thayre;15 Vidon Street;39;-5;0;
25964386I;64J0TxUz1G1;Matthias Stirgess;04379 Packers Circle;40;-5;0;
25965910L;wEXiTd4jhxrH;Noll Blaylock;39 Shoshone Circle;39;0;0;
25966567T;H4Hrut4P;Kass Inglesent;45 Annamark Drive;40;-2;0;
25984876Z;iNBHbRq;Jacinthe Alderton;7966 Dixon Park;37;-3;0;
26005835D;CmG14gA;Correy Roon;30 Gulseth Terrace;37;-9;0;
26014024O;l9WIZBPlBt;Andromache Parley;94 Oxford Lane;40;3;0;
26014231S;7FUXM7h9w;Honey Raybould;491 Boyd Point;37;1;0;
26038045L;QCNwf0;Harmonia Cops;9806 Petterle Place;40;-6;0;
26039764L;Gf4evp5xqFD;Leigh Langwade;6 Randy Hill;39;2;0;
26056050D;HB2l3s;Timmy Basey;73 Village Green Junction;37;-6;0;
26070159I;G3sVepoJ;Doti Shireff;9978 Fordem Drive;41;-3;0;
26089400L;iE5GnyTBE;Merrill Cusworth;6216 Veith Terrace;40;0;0;
26090157T;Vc9dBsNJ3fx;Sonnnie Bene;74 7th Trail;40;-7;0;
26097076L;s6PGeik;Lorri Russam;1823 Melrose Trail;40;-1;0;
26099694J;A9uzi7pxU;Ardene Scola;0 Towne Alley;36;1;0;
26101009D;xAmmAsFNd;Marthena MacLaughlin;76256 Sunfield Point;39;1;0;
26113150M;S1TLnAmzCkYR;Denyse Kennealy;5016 Northport Junction;37;-6;0;
26116927F;nY8OlrZijxJ;Hilton Bilham;60097 Melvin Avenue;40;-5;0;
26131797C;zXhTw0gf;Giffard O'Brogan;83 Ramsey Plaza;38;1;0;
26163006K;TtziMmwn0dX;Miguela Davidavidovics;4 Becker Drive;39;-0;0;
26186679Q;KNjPcRCABv;Panchito Spender;8451 Jenifer Lane;42;-1;0;
26187880M;YbNlNY;Adlai Glauber;6588 Raven Road;38;-2;0;
26206310G;B4QjesK;Carri Shovelin;7 Cherokee Plaza;40;-1;0;
26207323X;2113Zjafej;Inigo Moralas;88 Corben Center;37;-6;0;
26239086C;76BRpJ8MgFsN;Nolly Kyston;487 Carberry Center;35;3;0;
26245210D;oovq7Ot0l3mk;Rochell Hasney;9403 Portage Court;43;-8;0;
26271661Y;n5QufNm;Hayyim Patsall;39015 Oakridge Drive;39;-7;0;
26287745G;GywJiDSnxH;Cozmo McHan;656 Del Mar Way;40;-2;0;
26292899N;5MJR0w;Ashely Nye;74815 Cody Street;40;-1;0;
26329719V;SXyh1PCUA1N;Joannes Paskerful;260 Anzinger Terrace;38;2;0;
26340180O;qOu0xWK;Rosmunda Shoemark;0393 Brown Avenue;39;0;0;
26344542X;cW0PzfOnsA;Eugenia Felton;851 Hagan Lane;36;-2;0;
26345898J;WHdb4k;Biddie Naylor;337 Sachs Hill;39;-5;0;
26348372M;gMDcVOP89uS;Dur Jedrzejewski;4438 Mccormick Street;38;0;0;
26355430E;jBFMU63UtX6;Mateo Deignan;03 Stang Parkway;42;-0;0;
26362607D;AUqM4LE6Ijh;Sebastien Poschel;984 Kipling Parkway;38;0;0;
26366570K;Mv2hUku5UBx;Doe Bloomer;24 Arizona Trail;40;-3;0;
26372064G;DMpATjF0Rg;Darren Crossman;8 Cherokee Crossing;36;0;0;
26380655M;xnyt9LPJoih;Grazia Pentercost;15422 Atwood Terrace;42;-5;0;
26412092U;HerqAsH;Elnar Schwandt;937 Mcguire Pass;38;-5;0;
26414672P;57nIpx0lp;Petra McCritichie;47568 Nelson Street;37;-7;0;
26425138W;Z1pZ7vKtg;Free Boggon;02862 Blaine Plaza;40;-1;0;
26426391M;ETIwdeHt8F;Garv Whewill;4011 Erie Street;38;-0;0;
26427567O;7eQgAzXV;Orlan Grivori;9348 Reindahl Plaza;36;0;0;
26436832W;BXXswb0iDa;Claudianus Durrad;690 Algoma Center;38;2;0;
26445356D;vApnizvV;Tobin Knutton;25446 Eagan Avenue;36;-2;0;
26451894H;3QevezAnt;Reinaldos Melior;4 Esker Place;36;-8;0;
26452290U;H6fdUGC;Chantalle Johncey;495 Park Meadow Park;37;-4;0;
26457209U;yRmSOOrVyK;Tiffani Grigoletti;64420 Laurel Trail;42;-4;0;
26479227A;C9fOFkT;Tristam Troillet;85 Dixon Court;42;-6;0;
26533309Z;2A5HHAFyf1;Susann Craufurd;5763 Pond Circle;37;-3;0;
26563656C;X3MHINDbLD;Leo Lyfield;5922 Stuart Center;38;0;0;
26566886M;V0c2EU;Yves Banbrigge;22 Hudson Circle;42;-1;0;
26569003H;iMw3EZ;Jilli Andrichak;3 Superior Terrace;42;1;0;
26570213C;S3Yic3BSM;Kaye Lucken;9558 Pond Park;41;-7;0;
26571927B;7i2Nnm40xs4;Rudyard Baignard;4797 Independence Plaza;42;-8;0;
26588426T;a5IycC9;Egor Cecil;470 Esch Avenue;41;-1;0;
26594470R;e1G7YSp;Rodie Flasby;734 Grasskamp Drive;38;-1;0;
26606930C;1fO21Q9cpmGz;Noellyn Geggus;4 Scoville Trail;39;-8;0;
26641924C;pxW9cz5ry;Kip Glasscoe;9 Spenser Lane;42;-3;0;
26648732O;YyN19u;Consuelo Wilkinson;9 Pierstorff Street;36;-5;0;
26652034Q;kGbeNagJaB;Vanessa Mulhall;62184 Harbort Park;39;-0;0;
26666278G;tidQBAbpP;Fredek Atmore;52 Heffernan Court;43;-3;0;
26668121P;KQ3re7MN0Rz;Hatty Jillions;8879 Waywood Drive;41;-6;0;
26676222P;dfrBvN8;Lizbeth Abbison;7541 Del Sol Street;42;-7;0;
26694282J;agCQOyAFEx;Freeland Coxen;13290 Raven Pass;41;-4;0;
26706591N;iZJNFz3u7;Saunder Ballinger;3 Melody Drive;36;-0;0;
26709647O;wPPlBfWGHs0z;Quentin Fluck;111 Loftsgordon Center;41;-2;0;
26711297R;mD3xgivRgqWT;Tait Scarf;84150 Grover Court;38;0;0;
26720502P;ApxcKMyChk;Lenee Napier;6 Melby Point;38;-4;0;
26746658W;y7AYxW3;Rustin Brizland;77228 Summit Parkway;36;2;0;
26751462Q;k47npxZ;Olympia Trower;051 Basil Parkway;37;-7;0;
26757750N;WUuIoPCj58Rx;Giraldo Oels;3245 Roth Crossing;41;2;0;
26781808B;VFmXQFV9x3fb;Rochell Meadows;1 Dennis Court;38;2;0;
26796079Q;bP50qnBRYyS;Ringo Meigh;591 Sugar Court;42;3;0;
26829215X;77CXeLyTzNb;Janette Draisey;992 Union Hill;41;2;0;
26843483C;ZMAHnBUf;Doroteya Blackwell;45751 Fisk Street;42;-2;0;
26866198X;I3K2hd;Devon Maplethorpe;9162 Summit Circle;41;1;0;
26891503N;BUwjGk54u;Damiano Whanstall;1780 Bayside Avenue;36;-7;0;
26898981W;5jeZKl;Robby Tilzey;56951 Barby Avenue;37;-4;0;
26903065S;slxoSkjH;Bastian Elsworth;69 Mariners Cove Court;39;-2;0;
26918415K;WAFhN7gD;Robinet McCloy;998 Linden Trail;36;-7;0;
26922617V;Vh1OJX37;Glynn Filson;60779 Golf View Way;37;0;0;
